seed_asv,motu,asv,asv_reads
ASV1,motu1,ASV1,39878181
ASV1,motu1,ASV89,264760
ASV1,motu1,ASV134,131521
ASV1,motu1,ASV166,82299
ASV1,motu1,ASV188,67399
ASV1,motu1,ASV192,63938
ASV1,motu1,ASV204,57195
ASV1,motu1,ASV219,49916
ASV1,motu1,ASV222,47180
ASV1,motu1,ASV224,46803
ASV1,motu1,ASV246,36772
ASV1,motu1,ASV254,32137
ASV1,motu1,ASV275,25296
ASV1,motu1,ASV277,24437
ASV1,motu1,ASV287,22784
ASV1,motu1,ASV326,14641
ASV1,motu1,ASV338,13850
ASV1,motu1,ASV382,10200
ASV1,motu1,ASV385,9875
ASV1,motu1,ASV393,9240
ASV1,motu1,ASV433,7735
ASV1,motu1,ASV440,7538
ASV1,motu1,ASV442,7363
ASV1,motu1,ASV465,6229
ASV1,motu1,ASV470,5902
ASV1,motu1,ASV502,4924
ASV1,motu1,ASV509,4718
ASV1,motu1,ASV518,4522
ASV1,motu1,ASV553,3820
ASV1,motu1,ASV560,3710
ASV1,motu1,ASV592,3179
ASV1,motu1,ASV608,2942
ASV1,motu1,ASV612,2877
ASV1,motu1,ASV613,2874
ASV1,motu1,ASV625,2709
ASV1,motu1,ASV651,2512
ASV1,motu1,ASV653,2499
ASV1,motu1,ASV675,2240
ASV1,motu1,ASV680,2185
ASV1,motu1,ASV694,2033
ASV1,motu1,ASV695,2033
ASV1,motu1,ASV723,1844
ASV1,motu1,ASV740,1728
ASV1,motu1,ASV754,1619
ASV1,motu1,ASV782,1462
ASV1,motu1,ASV857,1073
ASV1,motu1,ASV865,1017
ASV1,motu1,ASV877,970
ASV1,motu1,ASV1063,536
ASV1,motu1,ASV1078,512
ASV1,motu1,ASV1102,472
ASV1,motu1,ASV1147,404
ASV1,motu1,ASV1,40984605
ASV2,motu2,ASV2,16489113
ASV2,motu2,ASV6,7810370
ASV2,motu2,ASV86,270309
ASV2,motu2,ASV235,40265
ASV2,motu2,ASV249,34318
ASV2,motu2,ASV256,31775
ASV2,motu2,ASV271,27497
ASV2,motu2,ASV307,18058
ASV2,motu2,ASV313,17079
ASV2,motu2,ASV315,16270
ASV2,motu2,ASV395,9146
ASV2,motu2,ASV477,5688
ASV2,motu2,ASV498,5048
ASV2,motu2,ASV510,4692
ASV2,motu2,ASV516,4553
ASV2,motu2,ASV531,4155
ASV2,motu2,ASV566,3580
ASV2,motu2,ASV607,2942
ASV2,motu2,ASV619,2774
ASV2,motu2,ASV626,2696
ASV2,motu2,ASV638,2601
ASV2,motu2,ASV758,1600
ASV2,motu2,ASV778,1472
ASV2,motu2,ASV861,1052
ASV2,motu2,ASV888,924
ASV2,motu2,ASV55,533116
ASV2,motu2,ASV152,95342
ASV2,motu2,ASV296,19833
ASV2,motu2,ASV344,13132
ASV2,motu2,ASV462,6298
ASV2,motu2,ASV581,3355
ASV2,motu2,ASV602,2972
ASV2,motu2,ASV652,2503
ASV2,motu2,ASV735,1746
ASV2,motu2,ASV765,1580
ASV2,motu2,ASV831,1200
ASV2,motu2,ASV836,1174
ASV2,motu2,ASV863,1037
ASV2,motu2,ASV1083,507
ASV2,motu2,ASV1299,238
ASV2,motu2,ASV2,25492010
ASV3,motu3,ASV3,10599320
ASV3,motu3,ASV180,72409
ASV3,motu3,ASV212,52577
ASV3,motu3,ASV272,27208
ASV3,motu3,ASV371,10888
ASV3,motu3,ASV604,2968
ASV3,motu3,ASV925,820
ASV3,motu3,ASV969,721
ASV3,motu3,ASV3,10766911
ASV4,motu4,ASV4,8177421
ASV4,motu4,ASV22,1379153
ASV4,motu4,ASV140,117681
ASV4,motu4,ASV173,75870
ASV4,motu4,ASV242,37168
ASV4,motu4,ASV257,30858
ASV4,motu4,ASV317,16028
ASV4,motu4,ASV323,14803
ASV4,motu4,ASV348,12820
ASV4,motu4,ASV351,12383
ASV4,motu4,ASV391,9372
ASV4,motu4,ASV487,5493
ASV4,motu4,ASV793,1410
ASV4,motu4,ASV1002,648
ASV4,motu4,ASV1031,580
ASV4,motu4,ASV1052,544
ASV4,motu4,ASV1085,504
ASV4,motu4,ASV1162,380
ASV4,motu4,ASV1164,376
ASV4,motu4,ASV175,75191
ASV4,motu4,ASV209,55047
ASV4,motu4,ASV262,29576
ASV4,motu4,ASV431,7848
ASV4,motu4,ASV499,5014
ASV4,motu4,ASV512,4648
ASV4,motu4,ASV526,4311
ASV4,motu4,ASV538,4025
ASV4,motu4,ASV562,3672
ASV4,motu4,ASV583,3319
ASV4,motu4,ASV835,1181
ASV4,motu4,ASV1130,426
ASV4,motu4,ASV1157,388
ASV4,motu4,ASV4,10088138
ASV5,motu5,ASV5,8142635
ASV5,motu5,ASV253,32726
ASV5,motu5,ASV306,18247
ASV5,motu5,ASV324,14669
ASV5,motu5,ASV363,11811
ASV5,motu5,ASV365,11631
ASV5,motu5,ASV417,8463
ASV5,motu5,ASV429,7983
ASV5,motu5,ASV552,3830
ASV5,motu5,ASV584,3315
ASV5,motu5,ASV790,1422
ASV5,motu5,ASV1007,636
ASV5,motu5,ASV1132,425
ASV5,motu5,ASV5,8257793
ASV7,motu6,ASV7,6628415
ASV7,motu6,ASV247,35859
ASV7,motu6,ASV273,25757
ASV7,motu6,ASV274,25459
ASV7,motu6,ASV292,21327
ASV7,motu6,ASV320,15395
ASV7,motu6,ASV339,13820
ASV7,motu6,ASV376,10631
ASV7,motu6,ASV412,8609
ASV7,motu6,ASV423,8144
ASV7,motu6,ASV426,8047
ASV7,motu6,ASV656,2468
