n_in_cluster,motu_reads,seed_asv,seed_reads,n_1readamplicon,max_iterations_to_limit,cumulative_steps,motu,seed_asv_reads,swarm_reads
65,56249696,ASV1,54846504,0,2,2,motu1,ASV1_54846504,ASV1_56249696
42,31012008,ASV2,21665186,0,2,2,motu2,ASV2_21665186,ASV2_31012008
15,14023742,ASV3,13607794,0,1,1,motu3,ASV3_13607794,ASV3_14023742
53,15697776,ASV4,13223320,0,2,2,motu4,ASV4_13223320,ASV4_15697776
17,9846580,ASV5,9687843,0,1,1,motu5,ASV5_9687843,ASV5_9846580
27,9788030,ASV6,9372345,0,2,2,motu6,ASV6_9372345,ASV6_9788030
3,7777962,ASV8,7014409,0,1,1,motu7,ASV8_7014409,ASV8_7777962
37,9701751,ASV9,6980331,0,3,3,motu8,ASV9_6980331,ASV9_9701751
14,7749882,ASV10,6130399,0,2,2,motu9,ASV10_6130399,ASV10_7749882
7,5027422,ASV11,4745951,0,1,1,motu10,ASV11_4745951,ASV11_5027422
11,5290823,ASV12,4180650,0,1,1,motu11,ASV12_4180650,ASV12_5290823
6,4441278,ASV13,4072000,0,2,2,motu12,ASV13_4072000,ASV13_4441278
6,3068919,ASV14,3064217,0,1,1,motu13,ASV14_3064217,ASV14_3068919
2,2965207,ASV15,2964121,0,1,1,motu14,ASV15_2964121,ASV15_2965207
28,3971470,ASV16,2882498,0,2,2,motu15,ASV16_2882498,ASV16_3971470
2,2632429,ASV17,2630476,0,1,1,motu16,ASV17_2630476,ASV17_2632429
12,2882806,ASV18,2597666,0,2,2,motu17,ASV18_2597666,ASV18_2882806
6,2790040,ASV19,2424830,0,1,1,motu18,ASV19_2424830,ASV19_2790040
5,3220767,ASV20,2338412,0,1,1,motu19,ASV20_2338412,ASV20_3220767
5,2607922,ASV21,2261890,0,2,2,motu20,ASV21_2261890,ASV21_2607922
9,2604747,ASV22,2141063,0,2,2,motu21,ASV22_2141063,ASV22_2604747
17,4818570,ASV24,1759392,0,3,3,motu22,ASV24_1759392,ASV24_4818570
5,1747645,ASV25,1744051,0,1,1,motu23,ASV25_1744051,ASV25_1747645
1,1587492,ASV26,1587492,0,0,0,motu24,ASV26_1587492,ASV26_1587492
9,3068645,ASV27,1579598,0,2,2,motu25,ASV27_1579598,ASV27_3068645
7,1910234,ASV29,1513279,0,2,2,motu26,ASV29_1513279,ASV29_1910234
2,1471550,ASV30,1460766,0,1,1,motu27,ASV30_1460766,ASV30_1471550
6,1690684,ASV31,1452590,0,1,1,motu28,ASV31_1452590,ASV31_1690684
10,1624277,ASV33,1351604,0,2,2,motu29,ASV33_1351604,ASV33_1624277
5,1294905,ASV34,1234386,0,1,1,motu30,ASV34_1234386,ASV34_1294905
4,1549367,ASV35,1209217,0,1,1,motu31,ASV35_1209217,ASV35_1549367
3,1280677,ASV36,1182170,0,1,1,motu32,ASV36_1182170,ASV36_1280677
7,2793675,ASV37,1176520,0,2,2,motu33,ASV37_1176520,ASV37_2793675
4,1417313,ASV39,1109799,0,2,2,motu34,ASV39_1109799,ASV39_1417313
