sample_id,sample_replace
PECO2022-NEGPCR2,NEGPCR-2022-2
PECO2022-NEGPCR3,NEGPCR-2022-3
NEGPCR2,NEGPCR-2022-2
NEGPCR3,NEGPCR-2022-3
PECOe550,PECOe-0550
PECOe551,PECOe-0551
PECOe552,PECOe-0552
PECOe553,PECOe-0553
PECOe554,PECOe-0554
PECOe555,PECOe-0555
PECOe556,PECOe-0556
PECOe557,PECOe-0557
PECOe558,PECOe-0558
PECOe559,PECOe-0559
PECOe560,PECOe-0560
PECOe561,PECOe-0561
PECOe562,PECOe-0562
PECOe563,PECOe-0563
PECOe564,PECOe-0564
PECOe565,PECOe-0565
PECOe566,PECOe-0566
PECOe567,PECOe-0567
PECOe568,PECOe-0568
PECOe569,PECOe-0569
PECOe570,PECOe-0570
PECOe571,PECOe-0571
PECOe572,PECOe-0572
PECOe573,PECOe-0573
PECOe574,PECOe-0574
PECOe575,PECOe-0575
PECOe581,PECOe-0581
PECOe582,PECOe-0582
PECOe583,PECOe-0583
PECOe584,PECOe-0584
PECOe585,PECOe-0585
PECOe586,PECOe-0586
PECOe587,PECOe-0587
PECOe588,PECOe-0588
PECOe589,PECOe-0589
PECOe590,PECOe-0590
PECOe591,PECOe-0591
PECOe592,PECOe-0592
PECOe593,PECOe-0593
PECOe594,PECOe-0594
PECOe595,PECOe-0595
PECOe596,PECOe-0596
PECOe597,PECOe-0597
PECOe598,PECOe-0598
PECOe599,PECOe-0599
PECOe600,PECOe-0600
PECOe601,PECOe-0601
PECOe602,PECOe-0602
PECOe603,PECOe-0603
PECOe604,PECOe-0604
PECOe605,PECOe-0605
PECOe616,PECOe-0616
PECOe617,PECOe-0617
PECOe618,PECOe-0618
PECOe619,PECOe-0619
PECOe620,PECOe-0620
PECOe621,PECOe-0621
PECOe622,PECOe-0622
PECOe623,PECOe-0623
PECOe624,PECOe-0624
PECOe625,PECOe-0625
PECOe631,PECOe-0631
PECOe632,PECOe-0632
PECOe633,PECOe-0633
PECOe634,PECOe-0634
PECOe635,PECOe-0635
PECOe636,PECOe-0636
PECOe637,PECOe-0637
PECOe638,PECOe-0638
PECOe639,PECOe-0639
PECOe640,PECOe-0640
PECOe641,PECOe-0641
PECOe642,PECOe-0642
PECOe643,PECOe-0643
PECOe644,PECOe-0644
PECOe645,PECOe-0645
PECOe646,PECOe-0646
PECOe647,PECOe-0647
PECOe648,PECOe-0648
PECOe649,PECOe-0649
PECOe650,PECOe-0650
PECOe651,PECOe-0651
PECOe652,PECOe-0652
PECOe653,PECOe-0653
PECOe654,PECOe-0654
PECOe655,PECOe-0655
PECOe661,PECOe-0661
PECOe662,PECOe-0662
PECOe663,PECOe-0663
PECOe664,PECOe-0664
PECOe665,PECOe-0665
PECOe681,PECOe-0681
PECOe682,PECOe-0682
PECOe683,PECOe-0683
PECOe684,PECOe-0684
PECOe685,PECOe-0685
PECOe686,PECOe-0686
PECOe687,PECOe-0687
PECOe688,PECOe-0688
PECOe689,PECOe-0689
PECOe690,PECOe-0690
PECOe691,PECOe-0691
PECOe692,PECOe-0692
PECOe693,PECOe-0693
PECOe694,PECOe-0694
PECOe695,PECOe-0695
PECOe696,PECOe-0696
PECOe697,PECOe-0697
PECOe698,PECOe-0698
PECOe699,PECOe-0699
PECOe700,PECOe-0700
PECOe701,PECOe-0701
PECOe702,PECOe-0702
PECOe703,PECOe-0703
PECOe704,PECOe-0704
PECOe705,PECOe-0705
PECOe706,PECOe-0706
PECOe707,PECOe-0707
PECOe708,PECOe-0708
PECOe709,PECOe-0709
PECOe710,PECOe-0710
PECOe711,PECOe-0711
PECOe712,PECOe-0712
PECOe713,PECOe-0713
PECOe714,PECOe-0714
PECOe715,PECOe-0715
PECOe716,PECOe-0716
PECOe717,PECOe-0717
PECOe718,PECOe-0718
PECOe719,PECOe-0719
PECOe720,PECOe-0720
PECOe721,PECOe-0721
PECOe722,PECOe-0722
PECOe723,PECOe-0723
PECOe724,PECOe-0724
PECOe725,PECOe-0725
PECOe726,PECOe-0726
PECOe727,PECOe-0727
PECOe728,PECOe-0728
PECOe729,PECOe-0729
PECOe730,PECOe-0730
PECOe731,PECOe-0731
PECOe732,PECOe-0732
PECOe733,PECOe-0733
PECOe734,PECOe-0734
PECOe735,PECOe-0735
PECOe736,PECOe-0736
PECOe737,PECOe-0737
PECOe738,PECOe-0738
PECOe739,PECOe-0739
PECOe740,PECOe-0740
PECOe741,PECOe-0741
PECOe742,PECOe-0742
PECOe743,PECOe-0743
PECOe744,PECOe-0744
PECOe745,PECOe-0745
PECOe746,PECOe-0746
PECOe747,PECOe-0747
PECOe748,PECOe-0748
PECOe749,PECOe-0749
PECOe750,PECOe-0750
PECOe751,PECOe-0751
PECOe752,PECOe-0752
PECOe753,PECOe-0753
PECOe754,PECOe-0754
PECOe755,PECOe-0755
PECOe756,PECOe-0756
PECOe757,PECOe-0757
PECOe758,PECOe-0758
PECOe759,PECOe-0759
PECOe760,PECOe-0760
PECOe761,PECOe-0761
PECOe762,PECOe-0762
PECOe763,PECOe-0763
PECOe764,PECOe-0764
PECOe765,PECOe-0765
PECOe766,PECOe-0766
PECOe767,PECOe-0767
PECOe768,PECOe-0768
PECOe769,PECOe-0769
PECOe770,PECOe-0770
PECOe781,PECOe-0781
PECOe782,PECOe-0782
PECOe783,PECOe-0783
PECOe784,PECOe-0784
PECOe785,PECOe-0785
PECOe786,PECOe-0786
PECOe787,PECOe-0787
PECOe788,PECOe-0788
PECOe789,PECOe-0789
PECOe790,PECOe-0790
PECOe791,PECOe-0791
PECOe792,PECOe-0792
PECOe793,PECOe-0793
