Box name,min_long,min_lat,max_long,max_lat
mex5,-118.5,28,-110.5,32
mex4,-116.5,24,-106.25,28
mex3,-112,20,-104.5,24
mex2,-107.5,16,-96.5,20
ca1,-119.25,32,-116.85,34
ca2,-122.3,34,-118.3,36
ca3,-124,36,-121,38
ca4,-125.25,38,-121.8,40
ca5,-125.25,40,-123.8,42
or,-125.25,42,-123.8,44
or_wa,-125.25,44,-123.8,46
wa,-125.25,46,-123.5,48
puget_sound,-129,48,-122,50
wa_seattle,-123.3,47,-121.7,48
bc_vancouverisland,-131.75,50,-124,52
bc_vi2hg,-135,52,-126,54
bc_haidagwaii,-136.5,54,-129,56
commander,165,53.5,170.8,56.2
kamchatka,152.5,48.5,165,58.5
okhotsk1,132.5,58.5,153.5,64
okhotsk2,134.5,49,152.5,58.5
japan1,137,32,149.6,49
japan2,125,29,137,46
taiwan_yellowsea,115.5,20,125,42
nz_1,171,-42,180,-35.25
nz_2,164.5,-48,176,-42
tasmania,143,-44.25,150,-39
aus_1,137.5,-39,151.5,-36
aus_2,130.5,-36,140.25,-30
aus_3,113,-36,130.5,-30
aus_4,111,-30,116,-22
aus_5,113,-22,122.5,-17.5
aus_6,122.5,-17.5,134,-11.5
aus_7,134,-15.75,136.5,-10.25
aus_8,134,-18,142.5,-10.25
aus_9,142.5,-19,147.5,-9.5
aus_10,146.5,-25,154,-19
aus_11,152,-32.5,155,-25
aus_12,149.75,-36,152,-32.5
new_cal,162.5,-23.5,169.5,-18.25
vanuatu,166,-18.25,169.25,-13.25
fiji,176.75,-19,180,-16
hawaii,-161.5,18.5,-155.75,22.25
mad_1,48.5,-24.75,50.5,-12
mad_2,43.5,-18,48.5,-13.25
mad_3,42,-24.75,45,-18
mad_4,42.5,-26.25,47.5,-24.75
mauritius,54,-23,58.5,-18.5
saf_1,32,-28,35,-25
saf_2,28.5,-32,32,-28
saf_3,24.75,-34,28.5,-32
saf_4,17.25,-35.5,24.75,-34
saf_5,15.5,-34,18.5,-28.75
namibia,10,-28.75,16.5,-17.25
central_af,7.25,-17.25,14,-1
gulf_guinea,-2,-1,10.5,7
ivory_coast,-10.5,3,-2,6
sierra_leone,-16.5,6,-9,11.5
cape_verde,-26,14,-21.5,18
boats_2,-14.5,-8,-14,-7.5
longwood,-6,-16.25,-5.25,-15.75
amazon_delta,-51.5,-1,-45.5,4.25
guyana_guiana,-59.5,4.25,-51.5,9
trinidad_tobago,-64,9,-59.5,12.5
venezuela,-68.5,9.5,-64,12.5
curacao,-70.5,11,-68.5,13
maracaibo,-72,9,-70.5,13
columbia_1,-75.5,10.75,-72,12
columbia_2,-77.5,7.75,-75.5,10.75
panama_1,-79,8,-77.5,10
panama_2,-81.5,7,-79,10
