puerto_rico,1996-04-16,NA,0007cbedf79e9ba3a50bbe2873604b26.nc
nz_1,2006-06-16,2006-07-17,0010b82b0fa05a7fc78abe0f070525b4.nc
nyc,2006-09-16,NA,001670eb0cbc717b67aaa1bee945c588.nc
ireland_3,1998-11-16,1998-12-17,001bb0f06477fd533eeda551b1cef73b.nc
tx_2,2000-09-16,NA,00223bcad6482e55e3f6fdc471acf99b.nc
japan2,2012-04-16,NA,002b049e4aeaba0fe4a11cfc62361e83.nc
puget_sound,2017-06-16,NA,002e3934e2b378396ffda1c3414f1956.nc
florida_e,2002-12-17,2003-01-17,0032dabf25492821f619c07666dd8163.nc
saf_2,1999-02-15,NA,0033058159b71cf0856f3cda5ae6ac4b.nc
scotland,1994-06-16,1994-07-17,003a23c1a72776dc7848425fabdbcb24.nc
nor_5,2010-02-15,NA,004b978031450d88392ee1de0d5c3bbd.nc
new_bruns,2011-06-16,2011-07-17,00540ac28d8055e811c8e4d1eb3f137e.nc
st_lawrence_qc,1996-07-17,1996-08-17,00577afe663d187960a15e291a65fd72.nc
aus_1,2001-04-16,2001-05-17,00577fdb933b2fb600e4fbde3b273511.nc
newfoundland_1,1998-06-16,NA,005bffac30616381d6ba7785b1e2c790.nc
namibia,1988-06-16,NA,005c0a90917ac767c7604d601f0f1dc3.nc
maine,2022-09-16,NA,005d057665a0d4ac82ee70f13cd8dab4.nc
bc_vancouverisland,2003-12-17,2004-01-17,005e2379e38fab6693e3fa66d5424569.nc
tx_1,1992-06-16,NA,005f221de8698fbe50d6747e21516029.nc
aus_3,2002-11-16,2002-12-17,0060f9116521917e07165a7c563f0b18.nc
aleut1,1985-02-15,1985-03-17,006cb5cb4194d80acba2db83f9a675f3.nc
ak1,1992-02-16,1992-03-17,0070d243338b8b70e5e3c6359578dc61.nc
aus_3,2017-11-16,NA,0079a6dfcdb9982114bd01fd12bbc65c.nc
saf_4,1987-04-16,1987-05-17,007b03b72331ea4f3d1ff034943efd44.nc
aus_10,2020-09-16,NA,007dd414ff417d09004f4781299c8a59.nc
aus_9,2014-06-16,NA,007e6019ee8a371bf8027d81e057e174.nc
oslo,2005-09-16,NA,007fd7ee5655a6d8a125b68a9044a378.nc
bc_vancouverisland,1988-07-17,1988-08-17,00805f4e77a0b98f5e3602436e1f55f3.nc
newfoundland_2,2002-11-16,NA,0082e95873e1ff9006d9a5bbc6613bc4.nc
nor_5,2004-09-16,2004-10-17,008e5706ccb868d079db4afc34800efd.nc
saf_2,1993-12-17,1994-01-17,00977e1dc9ff106d884c856c13a1b1ff.nc
nz_1,2008-07-17,2008-08-17,009daf556f1967fcb975dd6618a3ea50.nc
saf_3,2007-12-17,2008-01-17,00a18d328c8e387108c173a32a1a128b.nc
nor_5,2005-02-15,NA,00a1f8e6364a132a97f494cfc6d95303.nc
ca1,2006-06-16,NA,00aaad94ce59ba0e8f3d7a8412e3ca63.nc
nz_1,1982-04-16,NA,00ba23e31944534c98487318662710cc.nc
saf_4,1997-12-17,1998-01-17,00ba3c2c77c841762b1d18b8863bc8c9.nc
maine,2021-12-17,2022-01-17,00c32559f6625ee2cba0a2907a7611d4.nc
aus_1,2003-04-16,2003-05-17,00c45dd55b65b936dd6ae47c6582b414.nc
ca1,1998-09-16,NA,00c4af58e8417185b9dc58170733a2ac.nc
tx_1,1999-06-16,1999-07-17,00c9c34819b0cf48e01128aaad4c0084.nc
fiji,2022-06-16,NA,00cdd32c81ca1bdaf5252d36498312d6.nc
wa_seattle,1989-04-16,1989-05-17,00cfa4bee92fd77271ba62190be9cb0a.nc
mex3,2000-02-16,NA,00dbc72926885fe2488ca5b0ed81868d.nc
florida_e,1998-07-17,1998-08-17,00dcf91f37a97d80aa22e3a2c334291a.nc
bc_vi2hg,2004-06-16,2004-07-17,00ebb24404d2e1f8336daaf77882ca24.nc
portugal,2020-09-16,NA,00f0d4e083d9bce625e61f3bd6970585.nc
aus_10,2017-09-16,2017-10-17,00f3154a0f09b9565febfb07847d17ea.nc
nor_4,2004-02-16,2004-03-17,00f5e19d72ccaa87893f5bbecbb50003.nc
fundy_bay,2015-06-16,2015-07-17,00fb726245fb030f45239df0a2d82db2.nc
Delaware,2003-06-16,2003-07-17,00fbbdd074501523017d507a4591378d.nc
nor_5,2020-09-16,2020-10-17,00fe344e95abc02104a9c4a622b122e6.nc
netherlands,1988-06-16,NA,010204025d28f707cf1f4a0147f7867a.nc
Delaware,2009-06-16,2009-07-17,010f09e05b94d64e48c537df46d087c8.nc
saf_4,1988-12-17,1989-01-17,01108c67bf763ddc1c416972183e4415.nc
nor_5,2007-02-15,2007-03-17,0115dbc76208ced06bc192c68ef3752d.nc
bc_vancouverisland,1984-02-16,NA,011b9be06d16d26fd97a85f006c6762a.nc
bc_haidagwaii,1988-02-16,1988-03-17,0121494a5b7c36c1478198edae83b965.nc
saf_3,1990-06-16,1990-07-17,0125f76c03b58cacecb8b218cdab9386.nc
guyana_guiana,2004-12-17,2005-01-17,0129b05881dc1a526f90bcd10c13ddc0.nc
puget_sound,1999-04-16,NA,012e14fb770711d6cdb0e862a17ecb90.nc
japan1,2011-02-15,2011-03-17,013574134d8e8f5ade26ffecd490cac7.nc
saf_2,2003-07-17,2003-08-17,0139ad3fbe26b2a855739b36b1771433.nc
namibia,2001-04-16,NA,013a49d02796f803b075e63b30700f4a.nc
cuba_2,2000-02-16,NA,013c7602d3dd864abd1e4f3331367e4a.nc
maine,2001-06-16,2001-07-17,013f4691751b05c42495529bd4d6bbbf.nc
bc_vancouverisland,2010-04-16,2010-05-17,0142774a5e28beda68f4e32307d01ac9.nc
st_lawrence_qc,2002-07-17,2002-08-17,0142cb7fe6cd6d4a0c36535bd0f5beb6.nc
or_wa,2003-04-16,2003-05-17,01518b6afaa56b1bf59aef55124c2a23.nc
bc_vi2hg,2001-06-16,2001-07-17,015358971d0a98c9476aa4396808b263.nc
bc_vancouverisland,1994-06-16,1994-07-17,0157ab92e296a3f3578fb1ce2529efca.nc
