timestamps,latitude,beuti,year,month
2021-06-01,31,-0.036,2021,6
2021-06-01,32,0.265,2021,6
2021-06-01,33,0.515,2021,6
2021-06-01,34,-1.053,2021,6
2021-06-01,35,0.932,2021,6
2021-06-01,36,-2.451,2021,6
2021-06-01,37,7.977,2021,6
2021-06-01,38,18.595,2021,6
2021-06-01,39,40.224,2021,6
2021-06-01,40,47.285,2021,6
2021-06-01,41,25.488,2021,6
2021-06-01,42,29.846,2021,6
2021-06-01,43,22.262,2021,6
2021-06-01,44,10.66,2021,6
2021-06-01,45,10.231,2021,6
2021-06-01,46,6.228,2021,6
2021-06-01,47,3.484,2021,6
2021-06-02,31,0.719,2021,6
2021-06-02,32,0.543,2021,6
2021-06-02,33,0.816,2021,6
2021-06-02,34,1.046,2021,6
2021-06-02,35,-11.13,2021,6
2021-06-02,36,6.643,2021,6
2021-06-02,37,2.168,2021,6
2021-06-02,38,-6.572,2021,6
2021-06-02,39,21.659,2021,6
2021-06-02,40,28.511,2021,6
2021-06-02,41,22.261,2021,6
2021-06-02,42,18.468,2021,6
2021-06-02,43,20.082,2021,6
2021-06-02,44,7.635,2021,6
2021-06-02,45,6.083,2021,6
2021-06-02,46,4.26,2021,6
2021-06-02,47,5.49,2021,6
2021-06-03,31,1.118,2021,6
2021-06-03,32,0.53,2021,6
2021-06-03,33,0.897,2021,6
2021-06-03,34,4.617,2021,6
2021-06-03,35,6.155,2021,6
2021-06-03,36,15.645,2021,6
2021-06-03,37,9.367,2021,6
2021-06-03,38,-11.868,2021,6
2021-06-03,39,37.414,2021,6
2021-06-03,40,19.28,2021,6
2021-06-03,41,16.219,2021,6
2021-06-03,42,20.587,2021,6
2021-06-03,43,19.309,2021,6
2021-06-03,44,6.511,2021,6
2021-06-03,45,6.874,2021,6
2021-06-03,46,4.233,2021,6
2021-06-03,47,5.019,2021,6
2021-06-04,31,0.245,2021,6
2021-06-04,32,0.175,2021,6
2021-06-04,33,0.635,2021,6
2021-06-04,34,3.88,2021,6
2021-06-04,35,-2.405,2021,6
2021-06-04,36,13.421,2021,6
2021-06-04,37,12.361,2021,6
2021-06-04,38,21.13,2021,6
2021-06-04,39,33.159,2021,6
2021-06-04,40,31.99,2021,6
2021-06-04,41,21.572,2021,6
2021-06-04,42,25.4,2021,6
2021-06-04,43,18.177,2021,6
2021-06-04,44,7.899,2021,6
2021-06-04,45,5.201,2021,6
2021-06-04,46,2.098,2021,6
2021-06-04,47,2.894,2021,6
2021-06-05,31,-0.018,2021,6
2021-06-05,32,-0.029,2021,6
2021-06-05,33,0.342,2021,6
2021-06-05,34,2.035,2021,6
2021-06-05,35,-1.28,2021,6
2021-06-05,36,11.758,2021,6
2021-06-05,37,11.95,2021,6
2021-06-05,38,20.492,2021,6
2021-06-05,39,49.486,2021,6
2021-06-05,40,41.663,2021,6
2021-06-05,41,17.323,2021,6
2021-06-05,42,24.53,2021,6
2021-06-05,43,12.024,2021,6
2021-06-05,44,3.633,2021,6
2021-06-05,45,1.468,2021,6
2021-06-05,46,0.457,2021,6
2021-06-05,47,1.133,2021,6
2021-06-06,31,0.136,2021,6
2021-06-06,32,0.21,2021,6
2021-06-06,33,0.323,2021,6
2021-06-06,34,2.392,2021,6
2021-06-06,35,4.729,2021,6
2021-06-06,36,10.049,2021,6
2021-06-06,37,27.703,2021,6
2021-06-06,38,46.152,2021,6
2021-06-06,39,92.861,2021,6
2021-06-06,40,51.726,2021,6
2021-06-06,41,23.769,2021,6
2021-06-06,42,20.243,2021,6
2021-06-06,43,11.056,2021,6
2021-06-06,44,-0.715,2021,6
2021-06-06,45,-0.635,2021,6
2021-06-06,46,0.668,2021,6
2021-06-06,47,0.557,2021,6
2021-06-07,31,0.72,2021,6
2021-06-07,32,0.241,2021,6
2021-06-07,33,0.56,2021,6
2021-06-07,34,4.048,2021,6
2021-06-07,35,12.881,2021,6
2021-06-07,36,15.803,2021,6
2021-06-07,37,26.181,2021,6
2021-06-07,38,68.06,2021,6
2021-06-07,39,64.283,2021,6
2021-06-07,40,39.18,2021,6
2021-06-07,41,17.625,2021,6
2021-06-07,42,5.649,2021,6
2021-06-07,43,7.634,2021,6
2021-06-07,44,-1.577,2021,6
2021-06-07,45,-0.415,2021,6
2021-06-07,46,-0.023,2021,6
2021-06-07,47,-0.812,2021,6
2021-06-08,31,1.503,2021,6
2021-06-08,32,0.762,2021,6
2021-06-08,33,1.135,2021,6
2021-06-08,34,6.887,2021,6
2021-06-08,35,17.045,2021,6
2021-06-08,36,23.484,2021,6
2021-06-08,37,12.948,2021,6
2021-06-08,38,10.431,2021,6
2021-06-08,39,26.996,2021,6
2021-06-08,40,12.97,2021,6
2021-06-08,41,3.723,2021,6
2021-06-08,42,-12.638,2021,6
2021-06-08,43,3.036,2021,6
2021-06-08,44,-2.56,2021,6
2021-06-08,45,-0.944,2021,6
2021-06-08,46,0.905,2021,6
2021-06-08,47,0.406,2021,6
2021-06-09,31,3.694,2021,6
2021-06-09,32,1.889,2021,6
2021-06-09,33,2.596,2021,6
2021-06-09,34,10.083,2021,6
2021-06-09,35,15.725,2021,6
2021-06-09,36,15.848,2021,6
2021-06-09,37,5.357,2021,6
2021-06-09,38,-7.042,2021,6
2021-06-09,39,5.318,2021,6
2021-06-09,40,1.562,2021,6
2021-06-09,41,1.192,2021,6
2021-06-09,42,-0.895,2021,6
2021-06-09,43,-0.036,2021,6
2021-06-09,44,-6.243,2021,6
2021-06-09,45,-1.593,2021,6
2021-06-09,46,0.45,2021,6
2021-06-09,47,-0.92,2021,6
2021-06-10,31,5.519,2021,6
2021-06-10,32,1.909,2021,6
2021-06-10,33,2.126,2021,6
2021-06-10,34,9.808,2021,6
2021-06-10,35,14.357,2021,6
2021-06-10,36,8.513,2021,6
2021-06-10,37,3.385,2021,6
